tpl,pta,ptd,arr_at,dep_at,arr_delay,dep_delay
LIVST,,12:00:00,,11:59:00,,-0.016666666666666666
CLCHSTR,12:46:00,12:47:00,12:43:00,12:48:00,-0.05,0.016666666666666666
MANNGTR,12:55:00,12:55:00,12:54:00,12:56:00,-0.016666666666666666,0.016666666666666666
IPSWICH,13:07:00,13:08:00,13:05:00,13:08:00,-0.03333333333333333,0.0
DISS,13:28:00,13:29:00,13:26:00,13:29:00,-0.03333333333333333,0.0
NRCH,13:50:00,,13:44:00,,-0.1,
LIVST,,13:00:00,,12:59:00,,-0.016666666666666666
CLCHSTR,13:46:00,13:47:00,13:43:00,13:47:00,-0.05,0.0
MANNGTR,13:55:00,13:55:00,13:54:00,13:56:00,-0.016666666666666666,0.016666666666666666
IPSWICH,14:07:00,14:08:00,14:05:00,14:07:00,-0.03333333333333333,-0.016666666666666666
DISS,14:28:00,14:29:00,14:27:00,14:28:00,-0.016666666666666666,-0.016666666666666666
NRCH,14:50:00,,14:45:00,,-0.08333333333333333,
LIVST,,06:25:00,,06:24:00,,-0.016666666666666666
STFD,,06:33:00,06:31:00,06:33:00,,0.0
CHLMSFD,06:57:00,06:58:00,06:59:00,07:00:00,0.03333333333333333,0.03333333333333333
WITHAME,07:09:00,07:09:00,07:10:00,07:11:00,0.016666666666666666,0.03333333333333333
CLCHSTR,07:22:00,07:23:00,07:26:00,07:27:00,0.06666666666666667,0.06666666666666667
MANNGTR,07:31:00,07:31:00,07:35:00,07:36:00,0.06666666666666667,0.08333333333333333
IPSWICH,07:42:00,07:44:00,07:48:00,07:48:00,0.1,0.06666666666666667
STWMRKT,07:55:00,07:55:00,08:01:00,08:01:00,0.1,0.1
DISS,08:07:00,08:08:00,08:17:00,08:18:00,0.16666666666666666,0.16666666666666666
NRCH,08:27:00,,08:40:00,,0.21666666666666667,
LIVST,,07:00:00,,07:01:00,,0.016666666666666666
SHENFLD,,07:22:00,07:19:00,07:21:00,,-0.016666666666666666
CLCHSTR,07:50:00,07:51:00,07:48:00,07:51:00,-0.03333333333333333,0.0
MANNGTR,07:59:00,07:59:00,07:58:00,07:59:00,-0.016666666666666666,0.0
IPSWICH,08:11:00,08:12:00,08:09:00,08:12:00,-0.03333333333333333,0.0
STWMRKT,08:23:00,08:23:00,08:22:00,08:22:00,-0.016666666666666666,-0.016666666666666666
DISS,08:35:00,08:36:00,08:34:00,08:36:00,-0.016666666666666666,0.0
NRCH,08:56:00,,08:52:00,,-0.06666666666666667,
LIVST,,07:30:00,,07:29:00,,-0.016666666666666666
CHLMSFD,08:00:00,08:02:00,08:00:00,08:01:00,0.0,-0.016666666666666666
CLCHSTR,08:21:00,08:23:00,08:20:00,08:23:00,-0.016666666666666666,0.0
MANNGTR,08:31:00,08:31:00,08:30:00,08:32:00,-0.016666666666666666,0.016666666666666666
IPSWICH,08:43:00,08:44:00,08:41:00,08:43:00,-0.03333333333333333,-0.016666666666666666
STWMRKT,08:55:00,08:55:00,08:54:00,08:54:00,-0.016666666666666666,-0.016666666666666666
DISS,09:07:00,09:08:00,09:06:00,09:07:00,-0.016666666666666666,-0.016666666666666666
NRCH,09:27:00,,09:23:00,,-0.06666666666666667,
LIVST,,07:55:00,,07:55:00,,0.0
CLCHSTR,08:45:00,08:47:00,08:44:00,08:47:00,-0.016666666666666666,0.0
MANNGTR,08:55:00,08:55:00,08:55:00,08:56:00,0.0,0.016666666666666666
IPSWICH,09:07:00,09:08:00,09:06:00,09:08:00,-0.016666666666666666,0.0
DISS,09:28:00,09:29:00,09:28:00,09:29:00,0.0,0.0
NRCH,09:48:00,,09:48:00,,0.0,
LIVST,,08:30:00,,08:29:00,,-0.016666666666666666
STFD,,08:38:00,08:37:00,08:38:00,,0.0
CHLMSFD,09:03:00,09:03:00,09:00:00,09:02:00,-0.05,-0.016666666666666666
CLCHSTR,09:23:00,09:23:00,09:21:00,09:22:00,-0.03333333333333333,-0.016666666666666666
MANNGTR,09:31:00,09:31:00,09:29:00,09:31:00,-0.03333333333333333,0.0
IPSWICH,09:43:00,09:44:00,09:39:00,09:43:00,-0.06666666666666667,-0.016666666666666666
STWMRKT,09:55:00,09:55:00,09:53:00,09:54:00,-0.03333333333333333,-0.016666666666666666
DISS,10:07:00,10:08:00,10:05:00,10:08:00,-0.03333333333333333,0.0
NRCH,10:27:00,,10:23:00,,-0.06666666666666667,
LIVST,,09:00:00,,09:01:00,,0.016666666666666666
CLCHSTR,09:46:00,,09:54:00,,0.13333333333333333,
MANNGTR,09:55:00,09:55:00,,,,
IPSWICH,10:06:00,10:08:00,,,,
DISS,10:28:00,10:29:00,,,,
NRCH,10:51:00,,,,,
LIVST,,09:30:00,,09:30:00,,0.0
